home team,away team,FTHG,FTAG,htHG,htAG,home formation,away formation,home line up,away line up,home subs,away subs,home coach,away coach,Referee,date,venue,home shots on target,away shots on target,home shots off target,away shots off target,home fouls,away fouls,home corners,away corners,home throws,away throws,result,home_ht_ft,away_ht_ft,home_double_chance,away_double_chance
Crystal Palace,Arsenal,0,2,0,1,4-2-3-1,4-2-3-1,",Vicente Guaita,Nathaniel Clyne,Joachim Andersen,Marc Guehi,Tyrick Mitchell,Cheick Oumar Doucoure,Jeffrey Schlupp,Jordan Ayew,Eberechi Eze,Wilfried Zaha,Odsonne Edouard",",Gabriel Jesus,Gabriel Martinelli,Martin Odegaard,Bukayo Saka,Granit Xhaka,Thomas Partey,Oleksandr Zinchenko,Gabriel Magalhaes,William Saliba,Ben White,Aaron Ramsdale","Sam Johnstone,Joel Ward,Chris Richards,Luka Milivojevic,Will Hughes,Jairo Riedewald,Jean-Philippe Mateta,Malcolm Ebiowei,Luke Plange","Matt Turner,Kieran Tierney,Rob Holding,Cedric Soares,Albert Sambi Lokonga,Mohamed Elneny,Eddie Nketiah,Nicolas Pepe,Reiss Nelson",Patrick Vieira,Mikel Arteta,Referee: Anthony Taylor (England),Aug 5,Venue: Selhurst Park,2,2,2,4,16,11,3,5,22,13,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
Fulham,Liverpool,2,2,1,0,4-2-3-1,4-3-3,",Marek Rodak,Kenny Tete,Tosin Adarabioyo,Tim Ream,Antonee Robinson,Harrison Reed,Joao Palhinha,Bobby Reid,Andreas Pereira,Neeskens Kebano,Aleksandar Mitrovic",",Luis Diaz,Roberto Firmino,Mohamed Salah,Thiago,Fabinho,Jordan Henderson,Andy Robertson,Virgil Van Dijk,Joel Matip,Trent Alexander-Arnold,Alisson","Bernd Leno,Shane Duffy,Kevin Mbabu,Tom Cairney,Manor Solomon,Tyrese Francois,Luke Bernard Harris,Rodrigo Muniz,Jay Stansfield","Adrian,Joe Gomez,Stefan Bajcetic,Sepp Van den Berg,Luke Chambers,James Milner,Harvey Elliott,Fabio Carvalho,Darwin Nunez",Marco Silva,Jurgen Klopp,Referee: Andrew Madley (England),Aug 6,Venue: Craven Cottage,3,3,2,5,7,9,4,4,21,34,D,won at ht and drew at ft,lost at ht and drew ft,won either half,won either half
AFC Bournemouth,Aston Villa,2,0,1,0,4-2-3-1,4-3-1-2,",Mark Travers,Adam Smith,Lloyd Kelly,Chris Mepham,Jordan Zemura,Philip Billing,Jefferson Lerma,Ben Pearson,Dominic Solanke,Marcus Tavernier,Kieffer Moore",",Danny Ings,Leon Bailey,Philippe Coutinho,Jacob Ramsey,Boubacar Kamara,John McGinn,Lucas Digne,Diego Carlos,Ezri Konsa,Matty Cash,Emiliano Martinez","William Dennis,Jack Stacey,James Hill,Lewis Cook,Ryan Christie,Emiliano Marcondes,Junior Stanislas,Siriki Dembele,Jaidon Anthony","Robin Olsen,Tyrone Mings,Calum Chambers,Ludwig Augustinsson,Ashley Young,Douglas Luiz,Emiliano Buendia,Ollie Watkins,Cameron Archer",Scott Parker,Steven Gerrard,Referee: Peter Bankes (England),Aug 6,Venue: Vitality Stadium,3,2,2,7,17,16,5,5,15,17,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Leeds United,Wolverhampton Wanderers,2,1,1,1,4-2-3-1,4-2-3-1,",Illan Meslier,Rasmus Kristensen,Robin Koch,Diego Llorente,Pascal Struijk,Marc Roca,Tyler Adams,Brenden Aaronson,Rodrigo,Jack Harrison,Patrick Bamford",",Hwang Hee-chan,Pedro Neto,Morgan Gibbs-White,Daniel Podence,Ruben Neves,Leander Dendoncker,Rayan Ait-Nouri,Max Kilman,Nathan Collins,Jonny Otto,Jose Sa","Kristoffer Klaesson,Leo Fuhr Hjelde,Cody Drameh,Crysencio Summerville,Darko Gyabi,Mateusz Klich,Archie Gray,Joe Gelhardt,Sam Greenwood","Matija Sarkic,Yerson Mosquera,Willy Boly,Conor Coady,Hugo Bueno,Connor Ronan,Luke Cundle,Joe Hodge,Chem Campbell",Jesse Marsch,Bruno Lage,Referee: Robert Jones (England),Aug 6,Venue: Elland Road,4,6,4,6,13,9,6,4,15,24,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Newcastle United,Nottingham Forest,2,0,0,0,4-3-3,5-3-2,",Nick Pope,Kieran Trippier,Fabian Schar,Dan Burn,Matt Targett,Bruno Guimaraes,Joseph Willock,Joelinton,Miguel Almiron,Callum Wilson,Allan Saint-Maximin",",Sam Surridge,Brennan Johnson,Jesse Lingard,Jack Colback,Lewis O'Brien,Harry Toffolo,Joe Worrall,Scott McKenna,Moussa Niakhate,Neco Williams,Dean Henderson","Martin Dubravka,Sven Botman,Jamaal Lascelles,Matt Ritchie,Ryan Fraser,Jacob Murphy,Elliot Anderson,Sean Longstaff,Chris Wood","Wayne Hennessey,Giulian Biancone,Loic Mbe Soh,Orel Mangala,Cafu,Oliver Hammond,Taiwo Awoniyi,Alexander Mighten,Lyle Taylor",Eddie Howe,Steve Cooper,Referee: Simon Hooper (England),Aug 6,Venue: St James' Park,9,0,8,3,9,14,11,1,19,24,H,drew at ht and won at ft,drew at ht and lost at ft,won either half,didnt win either half
Tottenham Hotspur,Southampton,4,1,2,1,3-4-2-1,5-3-2,",Hugo Lloris,Cristian Romero,Eric Dier,Ben Davies,Emerson,Pierre Hojbjerg,Rodrigo Bentancur,Ryan Sessegnon,Dejan Kulusevski,Son Heung-min,Harry Kane",",Adam Armstrong,Joe Aribo,Romeo Lavia,Oriol Romeu,James Ward-Prowse,Moussa Djenepo,Yan Valery,Jan Bednarek,Mohammed Salisu,Kyle Walker-Peters,Gavin Bazunu","Fraser Forster,Matt Doherty,Davinson Sanchez,Djed Spence,Clement Lenglet,Bryan Gil,Ivan Perisic,Lucas Moura,Yves Bissouma","Alex McCarthy,Jack Stephens,Romain Perraud,Armel Bella-Kotchap,Nathan Redmond,Stuart Armstrong,Ibrahima Diallo,Che Adams,Mohamed Elyounoussi",Antonio Conte,Ralph Hasenhuttl,Referee: Andre Marriner (England),Aug 6,Venue: Tottenham Hotspur Stadium,8,2,5,5,11,6,10,2,18,15,H,won at ht and won at ft,lost at ht and ft,won both halves,didnt win either half
Everton,Chelsea,0,1,0,1,5-4-1,3-4-3,",Jordan Pickford,Nathan Patterson,James Tarkowski,Yerry Mina,Ben Godfrey,Vitaliy Mykolenko,Demarai Gray,Abdoulaye Doucoure,Alex Iwobi,Dwight McNeil,Anthony Gordon",",Raheem Sterling,Kai Havertz,Mason Mount,Ben Chilwell,Jorginho,N'Golo Kante,Reece James,Kalidou Koulibaly,Thiago Silva,Cesar Azpilicueta,Edouard Mendy","Asmir Begovic,Mason Holgate,Michael Keane,Ruben Vinagre,Allan,Dele Alli,Jean-Philippe Gbamin,Lewis Warrington,Stanley Mills","Kepa Arrizabalaga,Trevoh Chalobah,Marc Cucurella,Mateo Kovacic,Ruben Loftus-Cheek,Hakim Ziyech,Conor Gallagher,Christian Pulisic,Armando Broja",Frank Lampard,Thomas Tuchel,Referee: Craig Pawson (England),Aug 6,Venue: Goodison Park,3,6,4,3,14,11,4,16,22,16,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won either half
Leicester City,Brentford,2,2,1,0,3-5-1-1,4-3-3,",Danny Ward,Wesley Fofana,Jonny Evans,Daniel Amartey,Timothy Castagne,Kiernan Dewsbury-Hall,Wilfred Ndidi,Youri Tielemans,James Justin,James Maddison,Jamie Vardy",",Yoane Wissa,Ivan Toney,Bryan Mbeumo,Vitaly Janelt,Christian Norgaard,Mathias Jensen,Rico Henry,Ben Mee,Pontus Jansson,Aaron Hickey,David Raya","Daniel Iversen,Caglar Soyuncu,Luke Thomas,Marc Albrighton,Nampalys Mendy,Dennis Praet,Kelechi Iheanacho,Ayoze Perez,Patson Daka","Thomas Strakosha,Mads Bech Sorensen,Mads Roerslev Rasmussen,Fin Stevens,Josh Dasilva,Frank Onyeka,Shandon Baptiste,Halil Dervisoglu,Keane Lewis-Potter",Brendan Rodgers,Thomas Frank,Referee: Jarred Gillett (Australia),Aug 7,Venue: King Power Stadium,5,3,7,3,6,5,5,6,20,11,D,won at ht and drew at ft,lost at ht and drew ft,won either half,won either half
Manchester United,Brighton & Hove Albion,1,2,0,2,4-2-3-1,3-4-2-1,",David De Gea,Diogo Dalot,Harry Maguire,Lisandro Martinez,Luke Shaw,Scott McTominay,Fred,Jadon Sancho,Christian Eriksen,Bruno Fernandes,Marcus Rashford",",Danny Welbeck,Adam Lallana,Pascal Gross,Leandro Trossard,Moisés Caicedo,Alexis MacAllister,Solly March,Adam Webster,Lewis Dunk,Joel Veltman,Robert Sanchez","Tom Heaton,Tyrell Malacia,Raphael Varane,Aaron Wan-Bissaka,Donny Van De Beek,James Garner,Cristiano Ronaldo,Anthony Elanga,Alejandro Garnacho","Jason Steele,Tariq Lamptey,Levi Colwill,Jan Paul Van Hecke,Enock Mwepu,Kaoru Mitoma,Neal Maupay,Jeremy Sarmiento,Deniz Undav",Erik ten Hag,Graham Potter,Referee: Paul Tierney (England),Aug 7,Venue: Old Trafford,5,4,5,6,7,12,6,2,20,22,A,lost at ht and ft,won at ht and won at ft,won either half,won either half
West Ham United,Manchester City,0,2,0,1,4-2-3-1,4-3-3,",Lukasz Fabianski,Vladimir Coufal,Kurt Zouma,Ben Johnson,Aaron Cresswell,Tomas Soucek,Declan Rice,Jarrod Bowen,Manuel Lanzini,Pablo Fornals,Michail Antonio",",Jack Grealish,Erling Haaland,Phil Foden,Ilkay Gundogan,Rodri,Kevin De Bruyne,Joao Cancelo,Nathan Ake,Ruben Dias,Kyle Walker,Ederson","Alphonse Areola,Darren Randolph,Harrison Ashby,Nikola Vlasic,Flynn Downes,Conor Coventry,Gianluca Scamacca,Said Benrahma,Armstrong Oko-Flex","Stefan Ortega,John Stones,Rico Lewis,Josh Wilson-Esbrand,Kalvin Phillips,Bernardo Silva,Cole Palmer,Julian Alvarez,Riyad Mahrez",David Moyes,Josep Guardiola,Referee: Michael Oliver (England),Aug 7,Venue: London Stadium,1,2,2,7,7,4,1,4,11,13,A,lost at ht and ft,won at ht and won at ft,didnt win either half,won both halves
